type	latitude	longitude	altitude (m)	name
T	11.961805244	108.252648168	1330.7	
T	11.961805244	108.252877989	1331.3	
T	11.961805244	108.253107810	1331.9	
T	11.961805243	108.253337631	1332.4	
T	11.961805243	108.253567451	1329.7	
T	11.961805243	108.253797272	1326.9	
T	11.961805243	108.254027093	1324.2	
T	11.961805243	108.254256914	1322.8	
T	11.961805243	108.254486734	1323.5	
T	11.961805243	108.254716555	1324.3	
T	11.961805243	108.254946376	1325.0	
T	11.961805243	108.255176196	1324.2	
T	11.961805243	108.255406017	1322.9	
T	11.961805243	108.255635838	1321.6	
T	11.961805242	108.255865659	1320.8	
T	11.961805242	108.256095479	1322.9	
T	11.961805242	108.256325300	1325.0	
T	11.961805242	108.256555121	1327.1	
T	11.961805242	108.256784942	1330.0	
T	11.961805242	108.257014762	1333.7	
T	11.961805242	108.257244583	1337.3	
T	11.961805242	108.257474404	1340.9	
T	11.961805242	108.257704224	1340.1	
T	11.961805242	108.257934045	1338.6	
T	11.961805241	108.258163866	1337.2	
T	11.961805241	108.258393687	1335.5	
T	11.961805241	108.258623507	1333.0	
T	11.961805241	108.258853328	1330.4	
T	11.961805241	108.259083149	1327.9	
T	11.961805241	108.259312970	1325.0	
T	11.961805241	108.259542790	1321.7	
T	11.961805241	108.259772611	1318.5	
T	11.961805241	108.260002432	1315.3	
T	11.961805241	108.260232253	1314.7	
T	11.961805241	108.260462073	1314.1	
T	11.961805240	108.260691894	1313.5	
T	11.961805240	108.260921715	1313.3	
T	11.961805240	108.261151535	1313.6	
T	11.961805240	108.261381356	1313.9	
T	11.961805240	108.261611177	1314.2	
T	11.961805240	108.261840998	1316.2	
T	11.961805240	108.262070818	1318.6	
T	11.961805240	108.262300639	1321.1	
T	11.961805240	108.262530460	1323.5	
T	11.961805240	108.262760281	1325.9	
T	11.961805240	108.262990101	1328.4	
T	11.961805239	108.263219922	1330.8	
T	11.961805239	108.263449743	1332.7	
T	11.961805239	108.263679564	1334.2	
